Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3000001;Picea;23,9;1 136,17;330,3;53,06;16,7;2,68;0,4;0,67;N/A;N/A;79,8;0,34;N/A;3,69
3000003;Betula pendula;37,3;2 025,87;458,9;73,72;22,3;3,58;1,3;2,43;N/A;N/A;287,3;1,21;N/A;7,22
3000005;Acer negundo;19,2;639,92;83,4;13,40;7,0;1,13;0,4;0,72;N/A;N/A;84,7;0,36;N/A;2,20
3000006;Betula pendula;39,2;2 202,64;518,9;83,37;24,0;3,85;1,3;2,53;N/A;N/A;299,5;1,26;N/A;7,65
3000007;Betula pendula;33,5;1 698,67;351,8;56,51;19,1;3,06;1,2;2,19;N/A;N/A;259,9;1,10;N/A;6,35
3000008;Betula pendula;30,0;1 428,38;267,8;43,02;16,2;2,61;1,0;1,95;N/A;N/A;231,6;0,98;N/A;5,54
3000009;Malus;29,0;1 410,83;258,2;41,48;12,2;1,97;0,3;0,62;N/A;N/A;73,0;0,31;N/A;2,89
3000010;Picea omorika;26,2;1 309,85;411,3;66,08;18,6;2,99;0,6;1,12;N/A;N/A;132,4;0,56;N/A;4,67
3000011;Picea abies;16,6;669,77;66,3;10,66;3,0;0,49;0,2;0,42;N/A;N/A;49,7;0,21;N/A;1,12
3000012;Betula pendula;27,1;1 227,00;208,3;33,47;14,0;2,25;0,9;1,74;N/A;N/A;206,4;0,87;N/A;4,86
3000013;Betula pendula;40,5;2 328,65;562,5;90,38;25,2;4,04;1,4;2,59;N/A;N/A;307,3;1,30;N/A;7,93
3000029;Gleditsia triacanthos;45,3;3 070,54;504,7;81,08;20,1;3,22;1,2;2,20;N/A;N/A;260,9;1,10;N/A;6,53
3000030;Gleditsia triacanthos;43,7;2 879,75;461,9;74,21;19,0;3,06;1,1;2,11;N/A;N/A;250,6;1,06;N/A;6,23
3000031;Gleditsia triacanthos;47,5;3 344,09;567,3;91,15;21,5;3,46;1,2;2,31;N/A;N/A;273,7;1,15;N/A;6,93
3000032;Acer platanoides;17,2;717,45;79,7;12,80;7,5;1,21;0,2;0,37;N/A;N/A;43,6;0,18;N/A;1,76
3000033;Gleditsia triacanthos;48,5;3 472,71;597,3;95,96;22,2;3,57;1,2;2,35;N/A;N/A;278,9;1,18;N/A;7,10
